k,description_short,cluster_kmeans,cluster_agg,log_world_import,median_world_demand_growth,median_global_demand_log,log_n_markets,mean_market_penetration,opportunity_rate,world_import_slope
020890,"Meat and edible meat offal: n.e.c. in chapter 2, fresh, chil",0,0,20.901608819142364,0.0005487953317363514,13.383972773416799,5.429345628954441,0.0,0.2026431718061674,-0.018376859785966475
020910,"Fat: pig fat, free of lean meat, not rendered or otherwise e",0,0,21.006062915225275,-0.034581504366499816,13.43375161635193,5.429345628954441,0.0,0.2026431718061674,-0.04898978654198071
020990,"Fat: poultry fat, not rendered or otherwise extracted, fresh",0,0,17.95977955348009,-0.15913284259029248,10.31857417971295,5.429345628954441,0.0,0.2026431718061674,-0.0477042191219199
021011,"Meat: salted, in brine, dried or smoked, of swine, hams, sho",0,0,20.209290789586625,0.00197735316916936,12.67249499529587,5.429345628954441,0.0,0.2026431718061674,0.030311703156348607
021012,"Meat: salted, in brine, dried or smoked, of swine, bellies (",0,0,20.729097461232765,0.050085690118929604,13.19085169407117,5.429345628954441,0.0,0.2026431718061674,0.03989350343339208
021019,"Meat: salted in brine, dried or smoked, of swine, n.e.c. in ",0,0,22.205545984496382,0.013600911269744942,14.665643022267679,5.429345628954441,0.0,0.2026431718061674,-0.021441626769786476
021020,"Meat: salted, in brine, dried or smoked, of bovine animals",0,0,20.008266303253226,0.039283178928583906,12.488628477153132,5.429345628954441,0.0,0.2026431718061674,-0.021178623068077877
021091,"Meat and edible meat offal: salted, in brine, dried or smoke",1,1,14.8448552384802,0.1316639425491204,7.103196632223259,5.429345628954441,0.0,0.8006607929515418,0.18880402746488528
021092,"Meat and edible meat offal: salted, in brine, dried or smoke",0,0,17.3816100719823,0.09334256157096454,9.883189608422452,5.429345628954441,0.0,0.30231277533039647,-0.014988033669917702
021093,"Meat and edible meat offal: salted, in brine, dried or smoke",1,1,16.276598574418244,-0.011747868633666336,8.703328570028422,5.429345628954441,0.0,1.0,0.05794102222388734
021099,"Meat and edible meat offal: salted, in brine, dried or smoke",0,0,21.32023968069518,-0.02465851056399665,13.788000893549878,5.429345628954441,0.0,0.2026431718061674,-0.02846810005419309
030111,"Fish: live, ornamental, freshwater",0,0,19.954217767282213,0.0019942554132496015,12.478464281654222,5.429345628954441,5.456431363640257e-06,0.20209251101321585,-0.002580981360898793
030119,"Fish: live, ornamental, other than freshwater",0,0,18.74636067598677,0.02581767984844474,11.257513983824007,5.429345628954441,0.0,0.2026431718061674,0.027680516075648504
030191,"Fish: live, trout (Salmo trutta, Oncorhynchus mykiss, Oncorh",0,0,19.031635716129813,0.07081734923878547,11.503141322084247,5.429345628954441,0.0,0.2026431718061674,0.03658488937215858
030192,"Fish: live, eels (Anguilla spp.)",2,2,20.730185951900502,-0.03911670056984057,13.151016490463078,5.429345628954441,0.0005532879662160634,0.20099118942731278,0.05079979034085813
030193,"Fish: live, carp (Cyprinus carpio, Carassius carassius, Cten",2,2,19.500060189020132,0.04303989083498494,12.0493953369633,5.429345628954441,0.0011013215859030838,0.20209251101321585,0.06564722996013815
030194,"Fish: live, Atlantic and Pacific bluefin tunas (Thunnus thyn",3,3,18.991576030982717,-0.0791692364361904,11.49753822813588,5.429345628954441,0.001615167668870043,0.19658590308370044,-0.006099860486087022
030195,"Fish: live, southern bluefin tunas (Thunnus maccoyii)",1,1,16.629820448806104,0.4405699265490205,9.07249788663404,5.429345628954441,0.0019363359212035114,0.9972466960352423,0.547687817531852
030199,"Fish: live, n.e.c. in heading 0301",0,0,21.177229409764493,0.008683684698004734,13.684163968881087,5.429345628954441,1.604740598042688e-05,0.19823788546255505,0.01109849835017058
030211,"Fish: fresh or chilled, trout (Salmo trutta, Oncorhynchus my",0,0,20.654148831650176,0.029353012634479758,13.140239618278796,5.429345628954441,1.7759071532377244e-08,0.20209251101321585,0.03753108349034898
030213,"Fish: fresh or chilled, Pacific salmon (Oncorhynchus nerka, ",0,0,20.465082705695348,-0.03961555020653612,12.955994879934742,5.429345628954441,0.0,0.2026431718061674,-0.019454158728695055
030214,"Fish: fresh or chilled, Atlantic salmon (Salmo salar) and Da",0,0,23.505646227639595,0.05872940672892346,16.004194976084626,5.429345628954441,0.0,0.2026431718061674,0.07656708560535164
030219,"Fish: fresh or chilled, salmonidae, n.e.c. in item no. 0302.",3,2,20.23882457480649,-0.017724898048581628,12.762373213288921,5.429345628954441,0.0011614931302757763,0.19658590308370044,-0.008520447681879302
030221,"Fish: fresh or chilled, halibut (Reinhardtius hippoglossoide",0,0,19.60067671512677,0.032994544786701274,12.112542902829162,5.429345628954441,0.0,0.2026431718061674,0.03414841022379257
030222,"Fish: fresh or chilled, plaice (Pleuronectes platessa), excl",0,0,18.91738306831359,0.06175665368611638,11.409274578127219,5.429345628954441,0.0,0.2026431718061674,0.05618971940180637
030223,"Fish: fresh or chilled, sole (Solea spp.), excluding fillets",0,0,19.831525503967814,-0.008501161985928929,12.286819241041883,5.429345628954441,6.117148071123639e-07,0.19933920704845814,-0.025219319017193115
