rank,year,forecast_horizon,country_name,iso3,j,k,description_short,forecasted_value,latest_historical_demand,latest_alg_export_v,predicted_growth_abs,predicted_growth_pct,global_demand_rank,rca,market_penetration,low_market_penetration_score,forecast_opportunity_score,model_used,is_hydrocarbon,forecast_scope,reason_or_interpretation
884,2024,1,France,FRA,251,711319,Jewellery: of precious metal (excluding silver) whether or n,4997522.410355145,4762869.603,1.507,234652.807355145,4.926710720934784,0.9956701698697406,0.0006646792296253,3.164058909046727e-07,0.9999996835941091,0.38386676991235513,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
885,2025,2,France,FRA,251,392690,Plastics: other articles n.e.c. in chapter 39,3617527.2561160857,3408266.778,118.655,209260.47811608572,6.139791622734462,0.9931682453123888,0.0054971907152963,3.481388275293044e-05,0.999965186117247,0.38384543675571015,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
886,2025,2,Malaysia,MYS,458,260111,Iron ores and concentrates: non-agglomerated,2137549.402853864,2048677.159,0.0,88872.24385386333,4.338030687921743,0.9970173600160068,0.0152378736537231,0.0,1.0,0.383677893057955,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
887,2025,2,France,FRA,251,851712,Telephones for cellular networks or for other wireless netwo,6712358.681800221,6709631.948000001,64.085,2726.7338002203032,0.0406390964713509,0.9993268288381778,0.0006325295349067,9.551194535953998e-06,0.9999904488054641,0.38360502210258396,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
888,2024,1,Thailand,THA,764,853710,"Boards, panels, consoles, desks and other bases: for electri",2051172.860104177,1845866.642,0.063,205306.21810417715,11.12248379339731,0.9935531567827506,0.0034796814384586,3.4130309615292354e-08,0.9999999658696904,0.38356303245985784,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
889,2024,1,France,FRA,251,850440,Electrical static converters,3660868.964948383,3387493.591,0.52,273375.3739483827,8.070137008515529,0.9952852583993788,0.0010363946534344,1.535058254815751e-07,0.9999998464941745,0.3835092845355552,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
890,2024,1,Singapore,SGP,702,854232,Electronic integrated circuits: memories,8092992.432831776,10933177.741,0.0,-2840185.308168222,-25.977674336321964,0.9972098157511878,,0.0,1.0,0.3831074121075418,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
891,2025,2,United Kingdom,GBR,826,870840,Vehicle parts: gear boxes and parts thereof,1954386.7747589392,1728092.976,0.0,226293.79875893917,13.095001362874536,0.9922059666364842,9.192471266073504e-06,0.0,1.0,0.38299136812180085,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
892,2024,1,France,FRA,251,392690,Plastics: other articles n.e.c. in chapter 39,3601792.092377162,3408266.778,118.655,193525.3143771621,5.678115211706651,0.9931682453123888,0.0054971907152963,3.481388275293044e-05,0.999965186117247,0.38274043399138746,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
893,2024,1,United Kingdom,GBR,826,870899,Vehicle parts and accessories: n.e.c. in heading no. 8708,2817174.3028219165,2553936.387,0.0,263237.9158219164,10.307144577360862,0.9954777141345597,0.0002118524922768,0.0,1.0,0.38267943173528085,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
894,2024,1,Germany,DEU,276,848180,"Taps, cocks, valves and similar appliances: for pipes, boile",3944391.7171114665,3781894.349,2.418,162497.36811146652,4.29671886932626,0.9906663207550368,0.0067523326495838,6.393621230163033e-07,0.999999360637877,0.3826380933835659,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
895,2026,3,France,FRA,251,851712,Telephones for cellular networks or for other wireless netwo,6680404.92086541,6709631.948000001,64.085,-29227.027134590782,-0.4355980679879578,0.9993268288381778,0.0006325295349067,9.551194535953998e-06,0.9999904488054641,0.3823754173363793,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
896,2025,2,United Kingdom,GBR,826,901890,"Medical, surgical or dental instruments and appliances: n.e.",2323376.672902265,2100869.662,5.769,222507.0109022651,10.59118587539797,0.9923984223716652,0.0022967341751617,2.746005668199325e-06,0.9999972539943318,0.3823244485335574,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
