j,k,iso3,country_name,description_short,series_id,t,actual,model,prediction
124,851762,CAN,Canada,Communication apparatus (excluding telephone sets or base st,124__851762,2023,4874407.175,trend_adjusted_naive,5546969.35329791
124,851762,CAN,Canada,Communication apparatus (excluding telephone sets or base st,124__851762,2023,4874407.175,simple_exponential_smoothing,4621561.770623047
124,852872,CAN,Canada,"Reception apparatus for television, whether or not incorpora",124__852872,2022,1321191.4949999999,naive_last_value,1472053.255
124,852872,CAN,Canada,"Reception apparatus for television, whether or not incorpora",124__852872,2022,1321191.4949999999,moving_average_3,1253617.142
124,852872,CAN,Canada,"Reception apparatus for television, whether or not incorpora",124__852872,2022,1321191.4949999999,trend_adjusted_naive,1611636.698734481
124,852872,CAN,Canada,"Reception apparatus for television, whether or not incorpora",124__852872,2022,1321191.4949999999,simple_exponential_smoothing,1330966.3359785157
124,852872,CAN,Canada,"Reception apparatus for television, whether or not incorpora",124__852872,2023,1002955.0909999999,naive_last_value,1321191.4949999999
124,852872,CAN,Canada,"Reception apparatus for television, whether or not incorpora",124__852872,2023,1002955.0909999999,moving_average_3,1329815.047
124,852872,CAN,Canada,"Reception apparatus for television, whether or not incorpora",124__852872,2023,1002955.0909999999,trend_adjusted_naive,1446469.882910502
124,852872,CAN,Canada,"Reception apparatus for television, whether or not incorpora",124__852872,2023,1002955.0909999999,simple_exponential_smoothing,1326078.9154892578
124,853710,CAN,Canada,"Boards, panels, consoles, desks and other bases: for electri",124__853710,2022,1793841.422,naive_last_value,1466515.699
124,853710,CAN,Canada,"Boards, panels, consoles, desks and other bases: for electri",124__853710,2022,1793841.422,moving_average_3,1502197.562
124,853710,CAN,Canada,"Boards, panels, consoles, desks and other bases: for electri",124__853710,2022,1793841.422,trend_adjusted_naive,1435804.0809758175
124,853710,CAN,Canada,"Boards, panels, consoles, desks and other bases: for electri",124__853710,2022,1793841.422,simple_exponential_smoothing,1486384.0420273438
124,853710,CAN,Canada,"Boards, panels, consoles, desks and other bases: for electri",124__853710,2023,2151096.0500000003,naive_last_value,1793841.422
124,853710,CAN,Canada,"Boards, panels, consoles, desks and other bases: for electri",124__853710,2023,2151096.0500000003,moving_average_3,1543988.0446666668
124,853710,CAN,Canada,"Boards, panels, consoles, desks and other bases: for electri",124__853710,2023,2151096.0500000003,trend_adjusted_naive,1917966.7222068105
124,853710,CAN,Canada,"Boards, panels, consoles, desks and other bases: for electri",124__853710,2023,2151096.0500000003,simple_exponential_smoothing,1640112.732013672
124,870323,CAN,Canada,Vehicles: spark-ignition internal combustion reciprocating p,124__870323,2022,12699904.302,naive_last_value,12814478.693
124,870323,CAN,Canada,Vehicles: spark-ignition internal combustion reciprocating p,124__870323,2022,12699904.302,moving_average_3,12922051.177333334
124,870323,CAN,Canada,Vehicles: spark-ignition internal combustion reciprocating p,124__870323,2022,12699904.302,trend_adjusted_naive,13119082.46512697
124,870323,CAN,Canada,Vehicles: spark-ignition internal combustion reciprocating p,124__870323,2022,12699904.302,simple_exponential_smoothing,12819585.189552736
124,870323,CAN,Canada,Vehicles: spark-ignition internal combustion reciprocating p,124__870323,2023,14689628.831,naive_last_value,12699904.302
124,870323,CAN,Canada,Vehicles: spark-ignition internal combustion reciprocating p,124__870323,2023,14689628.831,moving_average_3,12256742.369666666
124,870323,CAN,Canada,Vehicles: spark-ignition internal combustion reciprocating p,124__870323,2023,14689628.831,trend_adjusted_naive,12586354.3218549
124,870323,CAN,Canada,Vehicles: spark-ignition internal combustion reciprocating p,124__870323,2023,14689628.831,simple_exponential_smoothing,12759744.745776366
124,870324,CAN,Canada,Vehicles: spark-ignition internal combustion reciprocating p,124__870324,2022,8766919.986,naive_last_value,8015093.501
124,870324,CAN,Canada,Vehicles: spark-ignition internal combustion reciprocating p,124__870324,2022,8766919.986,moving_average_3,7656638.116666667
124,870324,CAN,Canada,Vehicles: spark-ignition internal combustion reciprocating p,124__870324,2022,8766919.986,trend_adjusted_naive,7110334.3471826315
124,870324,CAN,Canada,Vehicles: spark-ignition internal combustion reciprocating p,124__870324,2022,8766919.986,simple_exponential_smoothing,7885622.191861328
124,870324,CAN,Canada,Vehicles: spark-ignition internal combustion reciprocating p,124__870324,2023,8410198.392,naive_last_value,8766919.986
124,870324,CAN,Canada,Vehicles: spark-ignition internal combustion reciprocating p,124__870324,2023,8410198.392,moving_average_3,7566796.909333333
124,870324,CAN,Canada,Vehicles: spark-ignition internal combustion reciprocating p,124__870324,2023,8410198.392,trend_adjusted_naive,9589268.800337384
124,870324,CAN,Canada,Vehicles: spark-ignition internal combustion reciprocating p,124__870324,2023,8410198.392,simple_exponential_smoothing,8326271.088930664
124,870390,CAN,Canada,Vehicles: for transport of persons (other than those of head,124__870390,2022,7856576.783,naive_last_value,5261994.255
124,870390,CAN,Canada,Vehicles: for transport of persons (other than those of head,124__870390,2022,7856576.783,moving_average_3,3488377.1356666666
124,870390,CAN,Canada,Vehicles: for transport of persons (other than those of head,124__870390,2022,7856576.783,trend_adjusted_naive,7103692.24425
124,870390,CAN,Canada,Vehicles: for transport of persons (other than those of head,124__870390,2022,7856576.783,simple_exponential_smoothing,3827201.4786308594
124,870390,CAN,Canada,Vehicles: for transport of persons (other than those of head,124__870390,2023,11028497.599,naive_last_value,7856576.783
124,870390,CAN,Canada,Vehicles: for transport of persons (other than those of head,124__870390,2023,11028497.599,moving_average_3,5380415.164
124,870390,CAN,Canada,Vehicles: for transport of persons (other than those of head,124__870390,2023,11028497.599,trend_adjusted_naive,10606378.65705
124,870390,CAN,Canada,Vehicles: for transport of persons (other than those of head,124__870390,2023,11028497.599,simple_exponential_smoothing,5841889.13081543
124,870421,CAN,Canada,Vehicles: compression-ignition internal combustion piston en,124__870421,2022,2393493.523,naive_last_value,1688074.913
124,870421,CAN,Canada,Vehicles: compression-ignition internal combustion piston en,124__870421,2022,2393493.523,moving_average_3,1417639.5709999998
124,870421,CAN,Canada,Vehicles: compression-ignition internal combustion piston en,124__870421,2022,2393493.523,trend_adjusted_naive,1837586.8528176395
124,870421,CAN,Canada,Vehicles: compression-ignition internal combustion piston en,124__870421,2022,2393493.523,simple_exponential_smoothing,1511048.6900390624
124,870421,CAN,Canada,Vehicles: compression-ignition internal combustion piston en,124__870421,2023,2257247.517,naive_last_value,2393493.523
124,870421,CAN,Canada,Vehicles: compression-ignition internal combustion piston en,124__870421,2023,2257247.517,moving_average_3,1806124.5703333335
124,870421,CAN,Canada,Vehicles: compression-ignition internal combustion piston en,124__870421,2023,2257247.517,trend_adjusted_naive,3022427.010249708
124,870421,CAN,Canada,Vehicles: compression-ignition internal combustion piston en,124__870421,2023,2257247.517,simple_exponential_smoothing,1952271.1065195312
124,870829,CAN,Canada,"Vehicles: parts and accessories, of bodies, other than safet",124__870829,2022,4305124.796,naive_last_value,3883550.291
124,870829,CAN,Canada,"Vehicles: parts and accessories, of bodies, other than safet",124__870829,2022,4305124.796,moving_average_3,4432831.274
124,870829,CAN,Canada,"Vehicles: parts and accessories, of bodies, other than safet",124__870829,2022,4305124.796,trend_adjusted_naive,3712273.607564809
124,870829,CAN,Canada,"Vehicles: parts and accessories, of bodies, other than safet",124__870829,2022,4305124.796,simple_exponential_smoothing,4296212.785341797
124,870829,CAN,Canada,"Vehicles: parts and accessories, of bodies, other than safet",124__870829,2023,4946300.660999999,naive_last_value,4305124.796
124,870829,CAN,Canada,"Vehicles: parts and accessories, of bodies, other than safet",124__870829,2023,4946300.660999999,moving_average_3,4083801.4720000005
124,870829,CAN,Canada,"Vehicles: parts and accessories, of bodies, other than safet",124__870829,2023,4946300.660999999,trend_adjusted_naive,4115255.3616985288
124,870829,CAN,Canada,"Vehicles: parts and accessories, of bodies, other than safet",124__870829,2023,4946300.660999999,simple_exponential_smoothing,4300668.790670899
124,870840,CAN,Canada,Vehicle parts: gear boxes and parts thereof,124__870840,2022,2188394.674,naive_last_value,1656914.9239999999
124,870840,CAN,Canada,Vehicle parts: gear boxes and parts thereof,124__870840,2022,2188394.674,moving_average_3,2178741.2363333334
124,870840,CAN,Canada,Vehicle parts: gear boxes and parts thereof,124__870840,2022,2188394.674,trend_adjusted_naive,1429597.0269304938
124,870840,CAN,Canada,Vehicle parts: gear boxes and parts thereof,124__870840,2022,2188394.674,simple_exponential_smoothing,2039706.2944902345
124,870840,CAN,Canada,Vehicle parts: gear boxes and parts thereof,124__870840,2023,2796284.9930000002,naive_last_value,2188394.674
124,870840,CAN,Canada,Vehicle parts: gear boxes and parts thereof,124__870840,2023,2796284.9930000002,moving_average_3,1921895.9560000002
124,870840,CAN,Canada,Vehicle parts: gear boxes and parts thereof,124__870840,2023,2796284.9930000002,trend_adjusted_naive,1888161.229273186
